volume,issue,start page,end page,year,doi,title,authors
3,93,298,298,1882,10.1155/1882/24548,Xylocopa Perforating a Corolla-Tube,"Mann, Benjamin Pickman"
3,99,367,368,1882,10.1155/1882/27058,Notes on Sphingidae,"Goodell, Lafayette Washington"
3,72,54,54,1880,10.1155/1880/26565,Proceeding of Societies—Entomological Section of the Boston Society of Natural History,"Mann, B. Pickman"
3,82,171,174,1881,10.1155/1881/26590,"On the Number of Molts of Butterflies, With Some History of the Moth Callosamia Promethea","Edwards, William H."
3,74,83,83,1880,10.1155/1880/26193,Entomological Items—Society Meetings—Prize Essays,
3,95-96,330,334,1882,10.1155/1882/25803,Bibliographical Record,
3,85,207,210,1881,10.1155/1881/27936,Some Psocina of the United States,"Hagen, Hermann August"
3,93,300,300,1882,10.1155/1882/28130,Loan Libraries,"Mann, Benjamin Pickman"
3,82,175,175,1881,10.1155/1881/30362,Review,"Trelease, William"
3,75,88,88,1880,10.1155/1880/30860,Notes on Phoxopteris Angulifasciana Zell,"Fernald, Charles Henry"
3,85,212,214,1881,10.1155/1881/31608,Bibliographical Record,
3,93,303,303,1882,10.1155/1882/31792,Entomological Items—Society Meetings—Prize Essays,
3,69,7,7,1880,10.1155/1980/32646,Introductory—Announcement,"Dimmock, George"
3,97,339,339,1882,10.1155/1882/34048,Musca Domestica Linn. Versus Vespa Occidentalis Cresson,"Snow, Francis Huntington"
3,80,150,150,1880,10.1155/1880/35081,Review,"Dimmock, George"
3,82,179,179,1881,10.1155/1881/34926,Entomological Items—Society Meetings—Prize Essays,
3,99,369,369,1882,10.1155/1882/35293,Proceedings of Societies,
3,75,90,94,1880,10.1155/1880/35432,Bibliographical Record,
3,79,138,138,1880,10.1155/1880/36760,Review,"Mann, B. Pickman"
3,77,113,113,1880,10.1155/1880/37397,On an Aquatic Sphinx Larva,"Hagen, Hermann August"
3,69,11,11,1880,10.1155/1880/37218,Entomological Items—Society Meetings—Advertisements,
3,97,341,342,1882,10.1155/1882/37610,Note on Catogenus Rufus,"Dimmock, George"
3,73,63,68,1880,10.1155/1880/38474,Notes Upon Some Tineid Larvae,"Chambers, Vactor Tousey"
3,80,151,154,1880,10.1155/1880/38643,Bibliographical Record,
3,101-102,402,402,1882,10.1155/1882/38437,Proceedings of Societies,
3,99,371,372,1882,10.1155/1882/38957,Entomological Items—Society Meetings,
3,86,219,223,1881,10.1155/1881/39743,Some Psocina of the United States,"Hagen, Herman August"
3,77,115,118,1880,10.1155/1880/41070,Bibliographical Record,
3,97,343,343,1882,10.1155/1882/41383,Correspondence,
3,101-102,405,406,1882,10.1155/1882/42109,Bibliographical Record,
3,73,69,69,1880,10.1155/1880/42147,Proceedings of Societies,
3,83,186,186,1881,10.1155/1881/42171,Proceedings of Societies,
3,100,375,378,1882,10.1155/1882/42629,Pneumatic Functions of Insects,"Macloskie, George"
3,76,99,103,1880,10.1155/1880/42769,The Trophi and Their Chitinous Supports in Gracilaria,"Dimmock, George"
3,86,225,226,1881,10.1155/1881/43517,Bibliographical Record,
3,94,310,311,1882,10.1155/1882/43701,Unusual Care of Ants for Aphides,"Trelease, William"
3,70,20,20,1880,10.1155/1880/45463,Proceedings of Societies,"Mann, B. Pickman"
3,97,347,347,1882,10.1155/1882/45946,Entomological Items—Society Meetings—Prize Essays,
3,83,187,190,1881,10.1155/1881/46835,Bibliographical Record,
3,94,313,314,1882,10.1155/1882/48273,Bibliographical Record,
3,100,379,380,1882,10.1155/1882/47202,Promoting Locust Ravages,"Mann, Benjamin Pickman"
3,76,105,106,1880,10.1155/1880/47351,Bibliographical Record,
3,78,123,127,1880,10.1155/1880/49306,Description of the Preparatory Stages of Apatura Alicia,"Edwards, William Henry"
3,70,23,23,1880,10.1155/1880/49137,Entomological Items—Society Meetings,
3,87-89,231,241,1881,10.1155/1881/51751,Anatomy of the Mouth-Parts and of the Suctorial Apparatus of Culex,"Dimmock, George"
3,90-92,263,275,1881,10.1155/1881/50690,Fragments of the Coarser Anatomy of Diurnal Lepidoptera,"Scudder, Samuel H."
3,78,128,128,1880,10.1155/1880/52968,Review—In Memoriam,"Fernald, C. H."
3,98,352,353,1882,10.1155/1882/53190,"Organs, Probably Defensive in Function, in the Larva of Hyperchiria Varia, Walk. (Saturina I0, Harris)","Dimmock, George"
3,87-89,243,244,1881,10.1155/1881/56324,"Habits of Hypoprepia Packardii, Grote","Murtfeldt, Mary Esther"
3,95-96,319,321,1882,10.1155/1882/56508,Fragments of the Coarser Anatomy of Diurnal Lepidoptera,"Scudder, Samuel H."
3,103-104,414,414,1882,10.1155/1882/54026,Editorial Notice,"Dimmock, George"
3,90-92,276,276,1881,10.1155/1881/54262,The Grapeberry Moth (Eudemis Botrana. S. V.),"Murtfeldt, Mary Esther"
3,100,381,381,1882,10.1155/1882/54536,Book Notice,"Dimmock, George"
3,78,131,131,1880,10.1155/1880/57541,Entomological Items—Society Meetings—Prize Essays,
3,71,44,44,1880,10.1155/1880/57371,Title Slips,"Dimmock, George"
3,98,354,354,1882,10.1155/1882/57853,Book Notice,"Dimmock, George"
3,100,383,384,1882,10.1155/1882/59109,Entomological Items—Society Meetings,"Dimmock, George"
3,103-104,418,430,1882,10.1155/1882/58589,Bibliographical Record,
3,84,197,198,1881,10.1155/1881/58641,Foreign Honey Bees,"Cook, Albert John"
3,90-92,280,289,1881,10.1155/1881/58926,Bibliographical Record,
3,87-89,245,247,1881,10.1155/1881/59896,Gosse's Observations on the Butterflies of North America,"Scudder, Samuel H."
3,95-96,324,326,1882,10.1155/1882/60280,Circulation of Blood in the Larva of Hydrophilus,"Dimmock, George"
3,71,47,47,1880,10.1155/1880/61045,Entomological Items—Society Meetings,
3,103-104,465,468,1882,10.1155/1882/61069,Corrections,
3,98,355,358,1882,10.1155/1882/61527,Bibliographical Record,
3,84,199,199,1881,10.1155/1881/62415,George Dole Smith,"Mann, B. Pickman"
3,95-96,328,328,1882,10.1155/1882/63843,Proceedings of Societies,
3,81,163,166,1881,10.1155/1881/64731,Bibliographical Record,
3,79,138,138,1880,10.1155/1880/64876,Some Recent Publication on Fossil Insects,"Scudder, Samuel H."
3,74,76,76,1880,10.1155/1880/64245,Larvae of the Family Pyrochroidae,"Moody, Henry Loring"
3,84,203,203,1881,10.1155/1881/65976,Entomological Items—Society Meetings—Prize Essays,
