doi,volume,issue,start page,end page,title,authors
10.1155/1909/67528,16,2,28,28,Zeuzera Pyrina in Boston,William Reiff
10.1155/1955/24360,62,3,97,97,Obituary Notice,Editorial Board of Psyche
10.1155/1955/46921,62,1,41,41,The Southwestern Research Station of the American Museum of Natural History,
10.1155/1965/67498,72,1,1,1,William Morton Wheeler Memorial Issue,F. M. Carpenter
10.1155/1973/98796,80,4,374,374,The Hundredth Anniversary of the Cambridge Entomological Club,
10.1155/1974/34019,81,2,257,257,Centennial of Entomology at Cornell University,
10.1155/1974/36326,81,1,1,2,Centennial issue,Frank M. Carpenter
10.1155/1975/48654,82,3-4,314,314,The International Union for the Study of Social Insects,
10.1155/1977/17673,84,1,107,107,Reprints of Articles,W. M. Wheeler
10.1155/1979/46401,86,2-3,167,212,Nearctic Species of the Wolf Spider Genus Trochosa (Araneae: Lycosidae),Allen R. Brady
10.1155/1980/32646,3,69,7,7,Introductory—Announcement,George Dimmock
10.1155/1980/34765,87,1-2,141,141,Erratum,
10.1155/1980/79832,3,69,8,10,Bibliographical Record,
10.1155/1903/91657,10,324,168,169,Life Histories of North American Geometridae.—XLII,Harrison G. Dyar
10.1155/1903/93973,10,321,43,46,Reviews,Wm. H. Ashmead
10.1155/1903/95240,10,325-326,184,185,Descriptions of Three New Diptera of the Genus Phthiria,Charles W. Johnson
10.1155/1903/97546,10,322,59,72,"Classification of the Gall-Wasps and the Parasitic Cynipoids, or the Superfamily Cynipoidea. II",William H. Ashmead
10.1155/1903/98902,10,325-326,187,187,Two Coccida From Samoa,Vernon L. Kellogg
10.1155/1904/10423,11,5,103,104,On the North American Species of Siphonella,C. F. Adams
10.1155/1904/13739,11,2,44,46,Proceedings of the Club,W. L. W. Field
10.1155/1904/14984,11,5,105,105,Life Histories of North American Geometridae.—LVI,Harrison G. Dyar
10.1155/1904/17312,11,3,54,60,New Species of Noctuids for 1904. No. 2,John B. Smith
10.1155/1904/18568,11,5,107,107,Proceedings of the Club,W. L. W. Field
10.1155/1904/19629,11,1,7,13,New Acridiidae From the Southeastern States,Albert P. Morse
10.1155/1904/20974,11,3,62,63,Wintering Larvae,F. H. Foster
10.1155/1904/23240,11,6,113,113,Abnormal Lepidoptera,
10.1155/1904/24303,11,1,15,20,"Some Notes, and Descriptions of Four New Diptera",Chas. W. Johnson
10.1155/1904/25647,11,3,65,68,Recent Entomological Literature,
10.1155/1904/26904,11,6,118,120,Hemileuca budleyi,Caroline Gray Soule
10.1155/1904/27964,11,1,21,22,On the Relations of Certain Myrmecophiles to Their Host Ants,Charles T. Brues
10.1155/1904/29219,11,4,72,72,One of the Smallest Digger Wasps,Henry L. Viereck
10.1155/1904/29548,11,2,38,38,Pelecinus Polyturator Drury,C. W. Johnson
10.1155/1904/30575,11,6,121,121,Life Histories of North American Geometridae.—LVII,Harrison G. Dyar
10.1155/1904/32892,11,4,74,74,The Calls of Spiders,Fred H. Lahee
10.1155/1904/35148,11,6,122,126,Recent Entomological Literature,
10.1155/1904/36210,11,2,28,28,The Orders of Insects,A. E. Shipley
10.1155/1904/37465,11,4,76,80,A Revised List of the Diptera of Bermuda,Charles W. Johnson
10.1155/1904/39782,11,2,30,32,"Spring Moths, and How to Catch Them",E. J. Smith
10.1155/1904/431637,11,1,23,24,Book Review,A. P. Morse
10.1155/1904/43546,11,2,33,34,Additional Note on Nemotelus,A. L. Melander
10.1155/1904/45802,11,4,82,82,A Supposed Cynipid Gall From the Roots of Goldenrod (Solidago),A. Arsène Girault
10.1155/1904/48128,11,2,35,35,When to Collect Tabanidae,Charles W. Johnson
10.1155/1904/49373,11,4,84,88,Recent Entomological Literature,
10.1155/1904/51790,11,2,37,38,Some of the Diptera to be Collected During April and May,C. W. Johnson
10.1155/1904/53046,11,5,102,102,Eurema Lisa in New Hampshire,James A. Field
10.1155/1904/56362,11,2,39,44,Recent Entomological Literature,
10.1155/1904/57609,11,5,104,104,Chryptorhynchus lapathi in Minnesota,F. L. Washburn
10.1155/1904/60136,11,3,47,53,Earwigs (Anisolabia maritima Bon.),Charles Barrows Bennett
10.1155/1904/61381,11,5,106,106,Black Backgrounds for Butterflies,W. L. W. Field
10.1155/1904/62453,11,1,1,6,Problems in the Genus Basilarchia,W. L. W. Field
10.1155/1904/63697,11,3,63,63,Proceedings of the Club,W. L. W. Field
10.1155/1904/64945,11,5,108,112,Recent Entomological Literature,
10.1155/1904/67026,11,1,14,14,An Abnormal Specimen of Bembidium scudderi,Roland Hayward
10.1155/1904/68270,11,3,64,64,Life Histories of North American Geometridae.–LIV,Harrison G. Dyar
10.1155/1904/69517,11,6,114,117,"Notes on the Insects of Barbados, St. Vincent, the Grenadines, and Grenada",Austin H. Clark
10.1155/1904/70687,11,1,20,20,Identification of Specimens,
10.1155/1904/71934,11,4,69,71,The Oviposition and Carnivorous Habits of the Green Meadow Grasshopper (Orchelimum Glaberrimum Burmeister),Joseph L. Hancock
10.1155/1904/73189,11,6,120,120,Spider Calls,Wm. T. Davis
10.1155/1904/74260,11,1,23,23,New England Records for Eritettix carinatus Scudder and Conocephalus triops Linn,W. E. Britton
10.1155/1904/75607,11,4,72,73,A New Species of Roach of the Genus Kakerlac (Loboptera Auct.) From Southern Texas,James A. G. Rehn
